name,height
Garisan,1050.9
Gariwangsan,1561.9
Gayasan,1432.6
Gajisan,1240.9
Gamaksan,674.9
Gangcheonsan,583.7
Gyeryongsan,846.5
Gyebangsan,1579.1
Gongjaksan,887.4
Gwanaksan,632.2
Gubyeongsan,876.3
Geumsan,704.9
Geumsusan,1015.8
Geumosan,976.5
Geumjeongsan,800.8
Gitdaebong,360.7
Namsan(Geumosan),495.1
Naeyeonsan,711.3
Naejangsan,763.5
Daedunsan,878.9
Daeamsan,1312.6
Daeyasan,931
Deoksungsan(Sudeoksan),495.2
Deogyusan,1614.2
Deokangsan,1072.9
Doraksan,965.3
Dobongsan,740.2
Duryunsan,700
Dutasan,1357
Manisan,472.1
Maisan,687.4
Myeongseongsan,922
Myeongjisan,1252.3
Moaksan,795.2
Mudeungsan,1186.8
Muhaksan,761.4
Mireuksan,458.4
Minjujisan,1241.7
Bangjangsan,733.6
Bangtaesan,1445.7
Baekdeoksan,1350.1
Baegamsan,741.2
Baegunsan(Gwangyang),1222.2
Baegunsan(Jeongseon),883.5
Baegunsan(Pocheon),903
Byeonsan,459
Bukansan,835.6
Biseulsan,1083.4
Samaksan,655.8
Seodaesan,904.1
Seonunsan,334.7
Seoraksan,1708.1
Seonginbong,986.5
Sobaeksan,1439.7
Soyosan,587.5
Songnisan,1058.4
Sinbulsan,1159.3
Yeonhwasan,524
Odaesan,1565.4
Obongsan,777.9
Yongmunsan,1157.1
Yonghwasan,877.8
Unmunsan,1195.1
Unaksan,934.7
Unjangsan,1125.8
Woraksan,1095.3
Wolchulsan,810.7
Yumyeongsan,864
Eungbongsan,999.7
Jangansan,1237.4
Jaeyaksan,1119.1
Jeoksangsan,1030.6
Jeombongsan,1426
Jogyesan,887.3
Juwangsan,722.1
Juheulsan,1108.4
Jirisan,1915.4
Jirisan,399.3
Cheongwansan,724.3
Cheonmasan,810.3
Cheonseongsan,920.2
Cheontaesan,715.2
Cheongnyangsan,869.7
Chuwolsan,731.2
Chungnyeongsan,887.1
Chiaksan,1282
Chilgapsan,559.7
Taebaeksan,1566.7
Taehwasan,1027.5
Palgongsan,1192.3
Palbongsan,328.2
Paryeongsan,606.9
Hallasan,1947.3
Hwaaksan,1468.3
Hwawangsan,757.7
Hwangmaesan,1113.1
Hwangseoksan,1192.5
Hwangaksan,1111.4
Hwangjangsan,1078.9
Huiyangsan,996.4
